JCKBH,FAH,XWH,JKD,CDZ,KSSJ,JSSJ
4001,1,1,东,左,1900-01-01 17:00:40,1900-01-01 17:01:13
4001,1,1,东,左,1900-01-01 17:02:07,1900-01-01 17:02:40
4001,1,1,东,左,1900-01-01 17:03:34,1900-01-01 17:04:07
4001,1,1,东,左,1900-01-01 17:05:01,1900-01-01 17:05:34
4001,1,1,东,左,1900-01-01 17:06:28,1900-01-01 17:07:01
4001,1,1,东,左,1900-01-01 17:07:55,1900-01-01 17:08:28
4001,1,1,东,左,1900-01-01 17:09:22,1900-01-01 17:09:55
4001,1,1,东,左,1900-01-01 17:10:49,1900-01-01 17:11:22
4001,1,1,东,左,1900-01-01 17:12:16,1900-01-01 17:12:49
4001,1,1,东,左,1900-01-01 17:13:43,1900-01-01 17:14:16
4001,1,1,东,左,1900-01-01 17:15:10,1900-01-01 17:15:43
4001,1,1,东,左,1900-01-01 17:16:37,1900-01-01 17:17:10
4001,1,1,东,左,1900-01-01 17:18:04,1900-01-01 17:18:37
4001,1,1,东,左,1900-01-01 17:19:31,1900-01-01 17:20:04
4001,1,1,东,左,1900-01-01 17:20:58,1900-01-01 17:21:31
4001,1,1,东,左,1900-01-01 17:22:25,1900-01-01 17:22:58
4001,1,1,东,左,1900-01-01 17:23:52,1900-01-01 17:24:25
4001,1,1,东,左,1900-01-01 17:25:19,1900-01-01 17:25:52
4001,1,1,东,左,1900-01-01 17:26:46,1900-01-01 17:27:19
4001,1,1,东,左,1900-01-01 17:28:13,1900-01-01 17:28:46
4001,1,1,东,左,1900-01-01 17:29:40,1900-01-01 17:30:13
4001,1,1,东,左,1900-01-01 17:31:07,1900-01-01 17:31:40
4001,1,1,东,左,1900-01-01 17:32:34,1900-01-01 17:33:07
4001,1,1,东,左,1900-01-01 17:34:01,1900-01-01 17:34:34
4001,1,1,东,左,1900-01-01 17:35:28,1900-01-01 17:36:01
4001,1,1,东,左,1900-01-01 17:36:55,1900-01-01 17:37:28
4001,1,1,东,左,1900-01-01 17:38:22,1900-01-01 17:38:55
4001,1,1,东,左,1900-01-01 17:39:49,1900-01-01 17:40:22
4001,1,1,东,左,1900-01-01 17:41:16,1900-01-01 17:41:49
4001,1,1,东,左,1900-01-01 17:42:43,1900-01-01 17:43:16
4001,1,1,东,左,1900-01-01 17:44:10,1900-01-01 17:44:43
4001,1,1,东,左,1900-01-01 17:45:37,1900-01-01 17:46:10
