HPHM,STIME,PATH,FX
hp1,1900/01/01 17:00:00,40074008,直
hp2,1900/01/01 17:13:14.787536,40074008-40084009-40094006,直-左-直
hp3,1900/01/01 17:08:00,40044007,直
hp4,1900/01/01 17:00:48.179871,40074004-40044001,直-左
hp5,1900/01/01 17:09:26.666669,40094008-40084007,直-左
hp6,1900/01/01 17:00:00,40094008,直
hp7,1900/01/01 17:05:40,40024003,右
hp8,1900/01/01 17:10:54.545457,40014002-40024003,直-右
hp9,1900/01/01 17:09:16.363638,40024003,右
hp10,1900/01/01 17:08:12,40014004,直
hp11,1900/01/01 17:05:02.675010,40094008-40084007,直-左
hp12,1900/01/01 17:00:00,40014002,右
hp13,1900/01/01 17:03:00,40084005,左
hp14,1900/01/01 17:09:14.400000,40034002,左
hp15,1900/01/01 17:10:10.312100,40084005-40054002,直-左
hp16,1900/01/01 17:07:49.990395,40094006-40064003,直-左
hp17,1900/01/01 17:04:00,40054002,左
hp18,1900/01/01 17:00:00,40064009-40094008-40084007,右-直-左
hp19,1900/01/01 17:03:40,40024005,左
hp20,1900/01/01 17:00:02.894149,40084005-40054006-40064005-40054008,右-左-左-直
hp21,1900/01/01 17:05:00.270707,40014002-40024003,直-右
hp22,1900/01/01 17:06:45,40074008,左
hp23,1900/01/01 17:01:36,40094008-40084007,直-左
hp24,1900/01/01 17:06:00,40014002-40024003-40034002-40024001,直-左-直-直
hp25,1900/01/01 17:10:20,40094006-40064003-40034002,直-左-左
hp26,1900/01/01 17:14:36,40074004-40044001,直-左
hp27,1900/01/01 17:06:00,40094008,左
hp28,1900/01/01 17:09:00,40084007,左
hp29,1900/01/01 17:00:06.099668,40064003-40034006-40064005-40054004-40044007,左-右-直-左-左
hp30,1900/01/01 17:05:34.285715,40014004-40044007,直-左
hp31,1900/01/01 17:01:53.333332,40024003,右
hp32,1900/01/01 17:05:33.333331,40034006,左
hp33,1900/01/01 17:05:57.240641,40084005,左
hp34,1900/01/01 17:05:20,40014002-40024003,直-右
hp35,1900/01/01 17:02:13.846152,40074004-40044001,直-左
hp36,1900/01/01 17:00:00,40044007-40074008-40084009,左-直-直
hp37,1900/01/01 17:12:10,40064003-40034002-40024001-40014002-40024003,左-直-左-直-右
hp38,1900/01/01 17:12:23.076922,40034002,左
hp39,1900/01/01 17:05:45,40034002,左
hp40,1900/01/01 17:03:15,40084005-40054002,直-左
hp41,1900/01/01 17:07:49.912781,40014002-40024005,右-左
hp42,1900/01/01 17:09:00,40034006,左
hp43,1900/01/01 17:07:00,40044001,左
hp44,1900/01/01 17:03:40,40024005,左
hp45,1900/01/01 17:00:00,40024005,直
hp46,1900/01/01 17:11:07.058825,40094008-40084007,直-右
hp47,1900/01/01 17:03:08.571428,40064005-40054006,左-直
hp48,1900/01/01 17:04:49.565215,40074008-40084005-40054002-40024005-40054006,左-直-左-左-直
hp49,1900/01/01 17:07:28.846156,40074004-40044001,直-左
hp50,1900/01/01 17:04:20,40014002-40024003,直-右
hp51,1900/01/01 17:08:00,40084009,直
hp52,1900/01/01 17:01:00.130909,40094008-40084007,直-左
hp53,1900/01/01 17:00:37.695167,40024003-40034002,左-左
hp54,1900/01/01 17:01:00,40084007,左
hp55,1900/01/01 17:00:58.884874,40084009-40094006-40064003,左-直-左
hp56,1900/01/01 17:08:15.295256,40064005-40054004,直-左
hp57,1900/01/01 17:05:48,40074008,右
hp58,1900/01/01 17:00:18.678611,40094008-40084007-40074004,直-右-直
hp59,1900/01/01 17:07:00,40094006,右
hp60,1900/01/01 17:06:00,40024003,直
hp61,1900/01/01 17:03:24,40074008,直
hp62,1900/01/01 17:00:02.626539,40084005-40054004-40044001,左-右-左
hp63,1900/01/01 17:10:07.342960,40084009,左
hp64,1900/01/01 17:01:00,40024001,左
hp65,1900/01/01 17:03:06.415552,40084005,左
hp66,1900/01/01 17:06:24,40014002-40024005-40054008,右-直-直
hp67,1900/01/01 17:06:00,40044001,左
hp68,1900/01/01 17:09:00,40084009,直
